categoria,nombre,marca,socket,tipo_ram,capacidad_gb,velocidad_ram_mhz,modulos,chipset,form_factor,m2_slots,wifi,bluetooth,interfaz,vram_gb,potencia_w,certificacion,compatibilidad,tamaño_mm,cantidad,precio_estimado_ars
CPU,AMD Ryzen 5 5500,AMD,AM4,,,,,,,,,,,,,,6 núcleos / 12 hilos; iGPU: No,,,155000
CPU,Intel Core i3-12100F,Intel,LGA1700,,,,,,,,,,,,,,4 núcleos / 8 hilos; iGPU: No,,,175000
CPU,Intel Core i3-12100,Intel,LGA1700,,,,,,,,,,,,,,4 núcleos / 8 hilos; iGPU: Intel UHD 730,,,195000
CPU,AMD Ryzen 5 5600,AMD,AM4,,,,,,,,,,,,,,6 núcleos / 12 hilos; iGPU: No,,,210000
CPU,AMD Ryzen 5 5600G,AMD,AM4,,,,,,,,,,,,,,6 núcleos / 12 hilos; iGPU: Radeon Graphics,,,225000
CPU,Intel Core i5-12400F,Intel,LGA1700,,,,,,,,,,,,,,6 núcleos / 12 hilos; iGPU: No,,,235000
CPU,AMD Ryzen 5 5600GT,AMD,AM4,,,,,,,,,,,,,,6 núcleos / 12 hilos; iGPU: Radeon Graphics,,,240000
CPU,Intel Core i5-12400,Intel,LGA1700,,,,,,,,,,,,,,6 núcleos / 12 hilos; iGPU: Intel UHD 730,,,275000
CPU,Intel Core i5-13400F,Intel,LGA1700,,,,,,,,,,,,,,10 núcleos / 16 hilos; iGPU: No,,,295000
CPU,AMD Ryzen 7 5700X,AMD,AM4,,,,,,,,,,,,,,8 núcleos / 16 hilos; iGPU: No,,,310000
CPU,AMD Ryzen 5 7500F,AMD,AM5,,,,,,,,,,,,,,6 núcleos / 12 hilos; iGPU: No,,,310000
CPU,AMD Ryzen 5 8600G,AMD,AM5,,,,,,,,,,,,,,6 núcleos / 12 hilos; iGPU: Radeon 760M,,,325000
CPU,AMD Ryzen 7 5700G,AMD,AM4,,,,,,,,,,,,,,8 núcleos / 16 hilos; iGPU: Radeon Graphics,,,330000
CPU,Intel Core i5-14400F,Intel,LGA1700,,,,,,,,,,,,,,10 núcleos / 16 hilos; iGPU: No,,,335000
CPU,AMD Ryzen 5 7600,AMD,AM5,,,,,,,,,,,,,,6 núcleos / 12 hilos; iGPU: Radeon Graphics,,,345000
CPU,AMD Ryzen 5 9600,AMD,AM5,,,,,,,,,,,,,,6 núcleos / 12 hilos; iGPU: No,,,410000
CPU,AMD Ryzen 7 5700X3D,AMD,AM4,,,,,,,,,,,,,,8 núcleos / 16 hilos; iGPU: No,,,460000
CPU,Intel Core i5-14600K,Intel,LGA1700,,,,,,,,,,,,,,14 núcleos / 20 hilos; iGPU: Intel UHD 770,,,475000
CPU,Intel Core i7-12700,Intel,LGA1700,,,,,,,,,,,,,,12 núcleos / 20 hilos; iGPU: Intel UHD 770,,,490000
CPU,AMD Ryzen 7 7700,AMD,AM5,,,,,,,,,,,,,,8 núcleos / 16 hilos; iGPU: Radeon Graphics,,,510000
CPU,Intel Core i7-14700K,Intel,LGA1700,,,,,,,,,,,,,,20 núcleos / 28 hilos; iGPU: Intel UHD 770,,,620000
CPU,AMD Ryzen 7 7800X3D,AMD,AM5,,,,,,,,,,,,,,8 núcleos / 16 hilos; iGPU: No,,,730000
CPU,AMD Ryzen 7 9800X3D,AMD,AM5,,,,,,,,,,,,,,8 núcleos / 16 hilos; iGPU: No,,,820000
Motherboard,Gigabyte A520M K V2,Gigabyte,AM4,DDR4,,,,A520,Micro-ATX,1,No,No,,,,,,,,105000
Motherboard,ASUS Prime A520M-K,ASUS,AM4,DDR4,,,,A520,Micro-ATX,1,No,No,,,,,,,,110000
Motherboard,MSI A520M-A PRO,MSI,AM4,DDR4,,,,A520,Micro-ATX,1,No,No,,,,,,,,110000
Motherboard,MSI PRO H610M-S DDR4,MSI,LGA1700,DDR4,,,,H610,Micro-ATX,1,No,No,,,,,,,,125000
Motherboard,Gigabyte H610M H DDR4,Gigabyte,LGA1700,DDR4,,,,H610,Micro-ATX,1,No,No,,,,,,,,130000
Motherboard,Gigabyte B550M K,Gigabyte,AM4,DDR4,,,,B550,Micro-ATX,1,No,No,,,,,,,,145000
Motherboard,Gigabyte B550M DS3H,Gigabyte,AM4,DDR4,,,,B550,Micro-ATX,2,No,No,,,,,,,,165000
Motherboard,ASUS Prime A620M-K,ASUS,AM5,DDR5,,,,A620,Micro-ATX,1,No,No,,,,,,,,165000
Motherboard,ASUS PRIME B660M-A D4,ASUS,LGA1700,DDR4,,,,B660,Micro-ATX,2,No,No,,,,,,,,175000
Motherboard,MSI B550M PRO-VDH,MSI,AM4,DDR4,,,,B550,Micro-ATX,2,No,No,,,,,,,,180000
Motherboard,Gigabyte B760M DS3H DDR4,Gigabyte,LGA1700,DDR4,,,,B760,Micro-ATX,2,No,No,,,,,,,,190000
Motherboard,MSI PRO B650M-B,MSI,AM5,DDR5,,,,B650,Micro-ATX,2,No,No,,,,,,,,195000
Motherboard,Gigabyte B650M DS3H,Gigabyte,AM5,DDR5,,,,B650,Micro-ATX,2,No,No,,,,,,,,215000
Motherboard,MSI B550M PRO-VDH WiFi,MSI,AM4,DDR4,,,,B550,Micro-ATX,2,Sí,Sí,,,,,,,,230000
Motherboard,MSI PRO B760M-A WiFi DDR4,MSI,LGA1700,DDR4,,,,B760,Micro-ATX,2,Sí,Sí,,,,,,,,235000
Motherboard,MSI PRO B650M-A WiFi,MSI,AM5,DDR5,,,,B650,Micro-ATX,2,Sí,Sí,,,,,,,,255000
RAM,Kingston Fury Beast 8GB DDR4 3200,Kingston,,DDR4,8,3200,1,,,,,,,,,,,,,48000
RAM,Kingston Fury Beast 16GB (2x8) DDR4 3200,Kingston,,DDR4,16,3200,2,,,,,,,,,,,,,88000
RAM,Kingston Fury Beast 16GB (2x8) DDR5 6000,Kingston,,DDR5,16,6000,2,,,,,,,,,,,,,135000
RAM,Kingston Fury Beast 32GB (2x16) DDR4 3200,Kingston,,DDR4,32,3200,2,,,,,,,,,,,,,160000
RAM,Kingston Fury Beast 32GB (2x16) DDR5 6000,Kingston,,DDR5,32,6000,2,,,,,,,,,,,,,225000
RAM,Kingston Fury Beast 64GB (2x32) DDR4 3200,Kingston,,DDR4,64,3200,2,,,,,,,,,,,,,310000
RAM,Kingston Fury Beast 64GB (2x32) DDR5 6000,Kingston,,DDR5,64,6000,2,,,,,,,,,,,,,420000
GPU,Sin GPU dedicada (usar gráficos integrados),Integrada,,,,,,,,,,,Integrada,0,,,,,,0
GPU,Radeon RX 6600 8GB,AMD,,,,,,,,,,,PCIe 4.0 x8,8,,,,,,350000
GPU,Intel Arc B570 10GB,Intel,,,,,,,,,,,PCIe 4.0 x8,10,,,,,,380000
GPU,GeForce RTX 5050 8GB,NVIDIA,,,,,,,,,,,PCIe 4.0 x8,8,,,,,,420000
GPU,Radeon RX 7600 8GB,AMD,,,,,,,,,,,PCIe 4.0 x8,8,,,,,,450000
GPU,GeForce RTX 4060 8GB,NVIDIA,,,,,,,,,,,PCIe 4.0 x8,8,,,,,,520000
GPU,GeForce RTX 5060 8GB,NVIDIA,,,,,,,,,,,PCIe 5.0 x8,8,,,,,,580000
GPU,Radeon RX 9060 XT 16GB,AMD,,,,,,,,,,,PCIe 5.0 x16,16,,,,,,680000
GPU,GeForce RTX 5060 Ti 16GB,NVIDIA,,,,,,,,,,,PCIe 5.0 x8,16,,,,,,750000
